epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,3806.7,1.06733,0.75306,1.22618,0.89142,0.73761,0.80366,0.50608,1.41693,0.91499,1.57542,0.000313729,0.000313729,0.000313729
84,3852.21,1.05565,0.73185,1.20886,0.90395,0.73523,0.78721,0.49328,1.4375,0.92845,1.58795,0.000297226,0.000297226,0.000297226
85,3898.52,1.0532,0.72102,1.20315,0.8671,0.75,0.79465,0.50616,1.45462,0.9081,1.59568,0.000280723,0.000280723,0.000280723
86,3944.98,1.05719,0.73107,1.2103,0.91576,0.73438,0.79546,0.50287,1.46172,0.95857,1.60238,0.00026422,0.00026422,0.00026422
87,3990.65,1.06221,0.73771,1.21143,0.91824,0.75391,0.80147,0.49739,1.45221,0.91634,1.59648,0.000247716,0.000247716,0.000247716
88,4035.87,1.04877,0.73364,1.20573,0.9284,0.72656,0.79861,0.49495,1.47352,0.90913,1.61992,0.000231213,0.000231213,0.000231213
89,4081.32,1.03792,0.72327,1.20629,0.90201,0.74609,0.79517,0.49918,1.4788,0.91088,1.62808,0.00021471,0.00021471,0.00021471
90,4128.85,1.03903,0.70845,1.20121,0.92219,0.74609,0.80565,0.50367,1.45661,0.89902,1.61823,0.000198206,0.000198206,0.000198206
91,4177.96,0.98317,0.58807,1.2021,0.9193,0.75652,0.80599,0.50573,1.44993,0.87846,1.60062,0.000181703,0.000181703,0.000181703
92,4223.33,0.95593,0.562,1.18971,0.89388,0.76172,0.79544,0.4953,1.47903,0.90736,1.63379,0.0001652,0.0001652,0.0001652
93,4268.8,0.959,0.56879,1.19028,0.88455,0.76562,0.79609,0.50305,1.45846,0.93505,1.63093,0.000148696,0.000148696,0.000148696
94,4314.55,0.9452,0.53902,1.18363,0.89309,0.73828,0.79799,0.50624,1.41816,0.91908,1.59487,0.000132193,0.000132193,0.000132193
95,4360.24,0.92374,0.54081,1.16275,0.93461,0.73047,0.80091,0.50855,1.44267,0.91479,1.59064,0.00011569,0.00011569,0.00011569
96,4404.97,0.9451,0.54208,1.17517,0.90209,0.75581,0.79967,0.51237,1.44955,0.90408,1.6076,9.91865e-05,9.91865e-05,9.91865e-05
97,4450.69,0.92519,0.52732,1.17143,0.89201,0.76172,0.79481,0.50758,1.45249,0.90065,1.61672,8.26832e-05,8.26832e-05,8.26832e-05
98,4494.97,0.9154,0.52534,1.15631,0.91332,0.74085,0.79508,0.50449,1.44575,0.91724,1.61418,6.61799e-05,6.61799e-05,6.61799e-05
99,4539.85,0.90871,0.52156,1.15222,0.89372,0.74219,0.79623,0.50392,1.45197,0.9419,1.61318,4.96766e-05,4.96766e-05,4.96766e-05
100,4585.2,0.91072,0.51865,1.14858,0.90989,0.74219,0.80104,0.50469,1.45203,0.90078,1.61358,3.31733e-05,3.31733e-05,3.31733e-05
